Iteration	Posterior	Likelihood	Prior	dp	r	csf[1]	csf[2]	csf[3]
2870	-52.6492	-56.5929	3.9437	0.0119027	0.123559	0.0806632	0.612403	0.306934
2880	-53.1722	-57.0184	3.84616	0.0084965	0.13672	0.278011	0.393482	0.328506
2890	-62.6522	-66.31	3.65785	0.0046518	0.159395	0.43071	0.270013	0.299277
2900	-69.3297	-72.3101	2.9804	0.00356312	0.228229	0.443924	0.419392	0.136684
2910	-49.8638	-53.789	3.92527	0.0268193	0.110485	0.483632	0.223171	0.293197
2920	-46.614	-50.1971	3.58303	0.0689714	0.102557	0.601838	0.0713203	0.326841
2930	-51.5304	-55.1929	3.66243	0.0560028	0.107586	0.305839	0.3796	0.31456
2940	-51.8994	-55.1505	3.25112	0.0775362	0.127184	0.175964	0.359644	0.464392
2950	-58.4177	-62.3192	3.9015	0.0182184	0.121463	0.429392	0.310381	0.260228
2960	-58.6219	-62.3814	3.75955	0.0314149	0.122462	0.465156	0.462777	0.0720674
2970	-88.4075	-90.8284	2.42082	0.0142916	0.273458	0.727859	0.158271	0.11387
2980	-86.2929	-89.6191	3.32618	0.0120017	0.185212	0.502974	0.351826	0.1452
2990	-52.1011	-55.5855	3.48447	0.0347885	0.146597	0.320174	0.275453	0.404373
3000	-48.1494	-52.6761	4.52671	0.0225768	0.0545837	0.202838	0.60466	0.192502
