Iteration	Posterior	Likelihood	Prior	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	clock_rate	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
880	-2800.42	-2760.31	-40.1096	0.48943	0.0655509	0.128388	0.0628368	54.3817	17.3923	38.1576	0.00548393	0.191976	0.17331	0.341169	0.293922	0.191599	0.0649376	0.372703	0.0811144	0.0802865	0.319473	0.0814855
890	-2797.26	-2751.28	-45.9733	0.597316	0.0270804	0.0672498	0.0401694	65.4225	17.9244	37.2197	0.00529087	0.144879	0.158756	0.312519	0.35969	0.169036	0.0598019	0.391686	0.0616605	0.0610312	0.378116	0.0477042
900	-2794.23	-2752.01	-42.2207	0.366269	0.0553562	0.0873496	0.0319934	59.1749	17.277	37.9049	0.00534376	0.153413	0.16717	0.349612	0.330308	0.15291	0.0670415	0.404538	0.0618636	0.0684196	0.358001	0.040136
910	-2794.87	-2751.93	-42.941	0.402273	0.0407166	0.0681191	0.0274025	61.1147	19.2065	36.1443	0.00539511	0.158481	0.163281	0.349985	0.302806	0.183927	0.0636668	0.377672	0.0587495	0.0649755	0.39682	0.0381156
920	-2794.73	-2752.05	-42.6743	0.635913	0.0136801	0.0375737	0.0238936	58.3075	16.4668	36.5031	0.00548995	0.15587	0.189541	0.324347	0.316289	0.169824	0.0819292	0.33027	0.063107	0.0508434	0.432908	0.0409427
930	-2805.72	-2762.04	-43.6812	0.394331	0.0272678	0.0450209	0.0177531	60.1843	16.8655	38.1698	0.00573311	0.180566	0.174248	0.310816	0.351647	0.163289	0.0829467	0.414143	0.0638908	0.0514749	0.355625	0.0319199
940	-2796.6	-2757.98	-38.621	0.663529	0.0434442	0.129117	0.0856729	51.0001	16.9202	34.2825	0.00499329	0.209242	0.183627	0.327568	0.31185	0.176955	0.0790819	0.394846	0.11359	0.0528731	0.299578	0.0600307
950	-2794.69	-2748.68	-46.0077	0.479555	0.0352919	0.067811	0.0325191	65.8725	17.8004	34.6718	0.00536118	0.148494	0.190613	0.350487	0.310031	0.14887	0.0683534	0.388012	0.0306695	0.0584256	0.406617	0.0479229
960	-2790.09	-2748.56	-41.5315	0.757354	0.0345048	0.142202	0.107697	58.1035	16.1636	34.3328	0.00545101	0.162482	0.171605	0.331972	0.320148	0.176275	0.0605503	0.375391	0.0296719	0.0946315	0.393391	0.0463641
970	-2796.25	-2754.01	-42.241	0.149162	0.0368801	0.0433456	0.00646551	57.7169	17.6845	34.1714	0.00514377	0.15823	0.177702	0.342562	0.317059	0.162678	0.0896325	0.339033	0.0149756	0.0818576	0.424365	0.0501365
980	-2798.03	-2753.14	-44.888	0.383352	0.0232608	0.0377214	0.0144606	62.1149	16.473	35.2094	0.00507578	0.201414	0.185287	0.318533	0.324005	0.172176	0.0902096	0.375848	0.0423381	0.0534034	0.352201	0.086
990	-2795.02	-2755.22	-39.8004	0.409517	0.0435333	0.0737248	0.0301916	55.0871	16.8844	34.0436	0.00510924	0.166234	0.19236	0.308357	0.332608	0.166675	0.0352029	0.388756	0.0507539	0.0837938	0.368531	0.0729616
1000	-2799.82	-2754.07	-45.75	0.358444	0.0780989	0.121734	0.0436347	60.5162	16.6244	36.2515	0.00555419	0.150095	0.171422	0.322002	0.332525	0.174051	0.0229742	0.342645	0.0690093	0.0738547	0.409342	0.0821745
1010	-2800.07	-2757.63	-42.4378	0.38161	0.0289818	0.0468665	0.0178847	57.9673	20.6887	36.5727	0.00503078	0.152647	0.166323	0.341899	0.336234	0.155543	0.0996546	0.362012	0.072524	0.0491153	0.352199	0.0644959
1020	-2796.22	-2749.81	-46.4117	0.262486	0.0405856	0.0550303	0.0144447	64.6721	17.2993	34.0291	0.00571507	0.147491	0.157649	0.325733	0.34204	0.174578	0.0803143	0.438494	0.0228327	0.071996	0.334384	0.051979
1030	-2794.46	-2752.74	-41.7165	0.393269	0.0325484	0.0536456	0.0210972	58.2093	17.3105	34.4892	0.00512271	0.158992	0.156686	0.324069	0.344847	0.174399	0.108268	0.351222	0.0626997	0.0620324	0.370992	0.0447855
1040	-2794.15	-2751.68	-42.4717	0.886042	0.00977525	0.0857798	0.0760045	58.4504	19.497	35.7573	0.00544711	0.178268	0.168528	0.337771	0.31625	0.177451	0.0926261	0.404037	0.0571924	0.0586522	0.345147	0.0423452
1050	-2795.17	-2745.98	-49.1815	0.362015	0.0279068	0.0437422	0.0158353	68.3246	18.3043	37.4423	0.00577306	0.133463	0.1739	0.324254	0.326331	0.175516	0.0516895	0.382146	0.0350243	0.095585	0.403597	0.0319586
1060	-2793.32	-2751.97	-41.3492	0.441545	0.0443309	0.0793813	0.0350504	58.4074	16.454	35.9271	0.00530409	0.159941	0.170167	0.329797	0.335954	0.164082	0.0373581	0.374972	0.0451745	0.106432	0.400478	0.0355854
