Iteration	Posterior	Likelihood	Prior	dp	glr[1]	glr[2]	csf[1]	csf[2]	csf[3]
2050	-47.8761	-50.7031	2.82704	0.277231	0.108358	0.0917971	0.221837	0.158928	0.619235
2060	-52.117	-55.7752	3.65822	0.171333	0.149289	0.0736461	0.645444	0.146856	0.2077
2070	-59.5106	-62.4502	2.93957	0.141278	0.157799	0.167056	0.482198	0.255669	0.262133
2080	-61.8432	-64.343	2.49975	0.155783	0.22347	0.130863	0.556379	0.27517	0.168452
2090	-54.0183	-57.7562	3.73797	0.170816	0.156002	0.059475	0.703634	0.212361	0.0840054
2100	-64.2856	-67.5636	3.27805	0.147603	0.215983	0.0686987	0.490494	0.044051	0.465455
2110	-52.3359	-56.2965	3.96058	0.0843227	0.193051	0.0866586	0.603022	0.313265	0.0837129
2120	-50.0855	-53.5703	3.48477	0.265767	0.0682748	0.0775711	0.133937	0.567665	0.298398
2130	-71.1317	-73.0065	1.87483	0.192511	0.248121	0.131976	0.664301	0.0934749	0.242224
2140	-51.2144	-56.3658	5.15141	0.0424201	0.12489	0.0776394	0.621112	0.167808	0.211081
2150	-58.9733	-62.375	3.40165	0.0827997	0.264931	0.0721938	0.370284	0.279509	0.350207
2160	-55.7173	-59.5468	3.82945	0.083251	0.209509	0.0843856	0.109621	0.705751	0.184628
2170	-54.2892	-58.2777	3.98845	0.129437	0.176102	0.0557064	0.186378	0.181302	0.63232
2180	-61.2764	-65.6931	4.41669	0.0920775	0.162379	0.0639642	0.00813276	0.871766	0.120102
2190	-53.9291	-58.1133	4.18412	0.10054	0.160052	0.0810864	0.425556	0.429374	0.14507
2200	-64.7148	-67.6125	2.89763	0.103633	0.277242	0.0894517	0.531214	0.392121	0.0766656
2210	-62.7176	-66.1334	3.41585	0.0950622	0.209584	0.11386	0.620189	0.285302	0.0945088
2220	-58.5362	-62.3388	3.8026	0.130759	0.157611	0.0914613	0.681319	0.113772	0.204909
2230	-63.8446	-66.8881	3.04353	0.158987	0.111475	0.185276	0.484195	0.468182	0.0476235
2240	-65.1183	-68.2158	3.09754	0.12252	0.209146	0.11867	0.427054	0.411245	0.161701
2250	-70.1607	-72.4539	2.2932	0.1115	0.230825	0.188446	0.319694	0.510903	0.169403
2260	-51.7357	-55.6308	3.89508	0.134383	0.174324	0.0618748	0.705604	0.157648	0.136747
2270	-48.9237	-53.3476	4.42392	0.0225624	0.183498	0.111638	0.416942	0.191531	0.391527
2280	-48.8941	-52.3729	3.47879	0.127675	0.178569	0.105966	0.44649	0.234989	0.318521
2290	-70.7731	-75.2865	4.51342	0.141519	0.0937216	0.0735075	0.476828	0.402514	0.120658
2300	-72.7719	-75.5914	2.81952	0.0758961	0.220776	0.181466	0.703186	0.258177	0.0386362
2310	-46.5925	-50.966	4.37355	0.0503358	0.19053	0.0818695	0.269734	0.101405	0.628861
2320	-58.9754	-62.1347	3.15921	0.0313391	0.230765	0.182066	0.320374	0.377248	0.302378
2330	-61.5081	-65.4795	3.97145	0.143552	0.151412	0.0679812	0.167489	0.686455	0.146056
2340	-49.5363	-53.847	4.31068	0.118509	0.114133	0.0963801	0.410982	0.125574	0.463444
2350	-43.433	-46.4476	3.01459	0.205128	0.10685	0.146653	0.0795307	0.542048	0.378422
2360	-56.8288	-58.9563	2.12747	0.316044	0.102942	0.128357	0.454692	0.533649	0.0116593
2370	-47.8923	-50.7941	2.90181	0.2134	0.149558	0.106952	0.00349825	0.454027	0.542474
2380	-66.691	-69.2961	2.60511	0.129151	0.204214	0.166214	0.504511	0.254097	0.241392
2390	-54.7312	-59.0144	4.28321	0.134528	0.063338	0.133903	0.0160556	0.342968	0.640976
2400	-61.0677	-65.1748	4.10707	0.123945	0.135935	0.0895034	0.487561	0.0694886	0.44295
2410	-47.7495	-51.6724	3.92287	0.0738969	0.209059	0.0848472	0.482648	0.368223	0.14913
2420	-59.2169	-63.141	3.92417	0.0997015	0.178916	0.0890552	0.488857	0.300237	0.210906
2430	-64.6694	-67.6869	3.01753	0.0939459	0.209999	0.154392	0.233139	0.589498	0.177363
2440	-52.4739	-57.4625	4.98856	0.0362766	0.130919	0.0940387	0.654711	0.209362	0.135927
2450	-60.467	-63.792	3.32499	0.104099	0.185626	0.137866	0.650299	0.134554	0.215147
2460	-58.9937	-62.9173	3.92364	0.0697645	0.199291	0.0986708	0.370844	0.0531923	0.575964
2470	-49.9695	-54.1338	4.16433	0.133022	0.113082	0.0975537	0.181626	0.0914655	0.726908
2480	-74.8197	-77.6699	2.85018	0.0416356	0.314753	0.118684	0.478353	0.459423	0.0622246
2490	-74.1687	-77.7168	3.5481	0.0122976	0.230772	0.162211	0.5601	0.126533	0.313367
2500	-78.0999	-81.3095	3.2096	0.0157318	0.221575	0.201823	0.606416	0.0365062	0.357077
2510	-54.7562	-60.1462	5.39006	0.0675755	0.115195	0.0383131	0.403537	0.179524	0.416939
2520	-63.8537	-63.8642	0.0104986	0.427653	0.208084	0.123303	0.712027	0.207996	0.0799765
2530	-67.2876	-67.5663	0.278723	0.277792	0.25115	0.203276	0.307146	0.155535	0.537319
2540	-61.7531	-64.7005	2.94746	0.0915677	0.23634	0.137437	0.312026	0.53432	0.153654
2550	-55.0352	-58.9579	3.92267	0.13824	0.155466	0.0741178	0.506954	0.361127	0.131919
2560	-67.2742	-63.1148	-4.15935	0.851542	0.185248	0.139235	0.673542	0.186982	0.139476
2570	-54.9739	-56.8724	1.89854	0.256886	0.157967	0.155383	0.711351	0.120336	0.168313
2580	-68.5856	-71.9704	3.38476	0.15972	0.126361	0.135533	0.483887	0.403745	0.112368
2590	-60.389	-63.9632	3.57421	0.104249	0.145681	0.152739	0.103229	0.415647	0.481123
2600	-47.2589	-52.4054	5.14643	0.0397809	0.124639	0.0810268	0.551508	0.179598	0.268894
2610	-49.3958	-52.6237	3.22786	0.09129	0.19834	0.147673	0.208017	0.57013	0.221853
2620	-38.1324	-41.2196	3.08724	0.294782	0.103694	0.0528901	0.0103202	0.174653	0.815027
2630	-61.289	-63.9724	2.68342	0.238185	0.116123	0.13744	0.0187603	0.717361	0.263879
2640	-49.2588	-53.2901	4.03129	0.188737	0.0913217	0.0769021	0.578374	0.394824	0.0268026
2650	-61.9038	-65.9465	4.04265	0.127269	0.107866	0.12069	0.591	0.309411	0.0995894
2660	-65.8825	-69.8446	3.96216	0.0837045	0.168093	0.112077	0.45251	0.478716	0.0687742
2670	-57.0571	-61.0651	4.00792	0.0871054	0.168534	0.103659	0.784338	0.127645	0.0880167
